Gen;Frecuencia;Clase;Antibiotico;Organismo
sul1;55,63;Sulfonamide;Sulfonamide;Vibrio fluvialis
msbA;54,38;Nitroimidazole;Multidrug;Escherichia coli str. K-12 substr. MG1655
mdtB;54,38;Aminocoumarin;Multidrug;Escherichia coli str. K-12 substr. MG1655
aadA6;53,75;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
macB;50;Macrolide;;Neisseria gonorrhoeae
mdtC;48,75;Aminocoumarin;Multidrug;Escherichia coli str. K-12 substr. MG1655
floR;44,38;Phenicol;Chloramphenicol;Escherichia coli
APH(3'')-Ib;44,38;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
MexD;43,75;Penam, Diaminopyrimidine, Fluoroquinolone, Phenicol, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Aminoglycoside;Multidrug;Pseudomonas aeruginosa
adeB;41,25;Tetracycline, Glycylcycline;Multidrug;Acinetobacter baumannii
rosB;40,63;Peptide;Polymyxin;Yersinia enterocolitica (type O:8)
CRP;36,88;Penam, Macrolide, Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. W3110
bacA;34,38;Peptide;Bacitracin;Escherichia coli str. K-12 substr. MG1655
cpxA;33,75;Aminoglycoside, Aminocoumarin;;Escherichia coli O157:H7 str. Sakai
emrB;33,13;Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. MG1655
mel;32,5;Tetracycline, Lincosamide, Phenicol, Pleuromutilin, Oxazolidinone, Streptogramin, Macrolide;;Streptococcus pyogenes
CpxR;31,88;Peptide, Sulfonamide , Aminocoumarin, Penam, Diaminopyrimidine, Carbapenem, Phenicol, Monobactam, Cephalosporin, Fluoroquinolone, Macrolide, Tetracycline, Aminoglycoside, Penem, Cephamycin;Multidrug;Pseudomonas aeruginosa
mtrD;31,25;Macrolide, Penam;Multidrug;Neisseria meningitidis MC58
tet(V);30,63;Tetracycline;Tetracycline;Mycolicibacterium smegmatis MC2 155
evgS;30,63;Penam, Macrolide, Fluoroquinolone, Tetracycline;Multidrug;Escherichia coli str. K-12 substr. MG1655
mexY;30;Acridine, Carbapenem, Aminoglycoside, Fluoroquinolone, Macrolide, Tetracycline, Phenicol, Penam, Cephamycin, Cephalosporin;;Pseudomonas aeruginosa PAO1
vanRA;30;Glycopeptide;Vancomycin;Enterococcus faecium
tetW;28,75;Tetracycline;Tetracycline;Butyrivibrio fibrisolvens
TEM-1;28,75;Cephalosporin, Penam, Penem, Monobactam;Beta-lactam;Salmonella enterica subsp. enterica serovar Typhi str. CT18
dfrA1;28,75;Diaminopyrimidine;Trimethoprim;Klebsiella oxytoca
tet(L);28,75;Tetracycline;Tetracycline;Geobacillus stearothermophilus
qacEdelta1;28,75;Quaternary ammonium;Ethidium bromide;Pseudomonas aeruginosa
vanRI;28,13;Glycopeptide;Vancomycin;Desulfitobacterium hafniense Y51
sav1866;26,88;Multidrug;Multidrug;Staphylococcus aureus subsp. aureus Mu50
baeR;26,25;Aminoglycoside, Aminocoumarin;;Escherichia coli str. K-12 substr. W3110
tetX;26,25;Tetracycline, Glycylcycline;Tetracycline;Bacteroides fragilis
