Nombre del gen;Nombres alternativos;Clase;Antibiotico;Mecanismo;Database;Organismo;RefSeq Sequence Reference;Genbank Accession Number;CARD Accession;Enlace
dfrA15;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Escherichia coli;;KF534911.1;ARO:3003013;https://www.ncbi.nlm.nih.gov/nuccore/KF534911
dfrA16;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Escherichia coli;NG_047706.1;AF174129.3;ARO:3003014;https://www.ncbi.nlm.nih.gov/nuccore/AF174129.3
dfrA17;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Pseudomonas aeruginosa;;DQ838665.1;ARO:3002860;https://www.ncbi.nlm.nih.gov/nuccore/DQ838665
dfrA20;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Pasteurella multocida;NG_047714.1;AJ605332.1;ARO:3003016;https://www.ncbi.nlm.nih.gov/nuccore/AJ605332.1
dfrA26;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Escherichia coli;NG_047722.1;AM403715.1;ARO:3002857;https://www.ncbi.nlm.nih.gov/nuccore/AM403715.1
dfrA5;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Salmonella enterica subsp. enterica serovar Enteritidis;;DQ278190.1;ARO:3002861;https://www.ncbi.nlm.nih.gov/nuccore/DQ278190
dfrA7;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Acinetobacter baumannii;;FJ854362.1;ARO:3002862;https://www.ncbi.nlm.nih.gov/nuccore/FJ854362
DHA-1;;Cephalosporin, Cephamycin;Beta-lactam;Inactivation;CARD;Salmonella enterica subsp. enterica serovar Enteritidis;NG_049055.1;Y16410.1;ARO:3002132;https://www.ncbi.nlm.nih.gov/nuccore/Y16410.1
drrA;;Anthracycline;Daunorubicin, Doxorubicin;;UNIPROT/ENA;Mycobacterium tuberculosis H37Rv;;CCP45739.1;;https://www.ncbi.nlm.nih.gov/protein/CCP45739.1
efrA;;Fluoroquinolone, Macrolide, Rifamycin;Multidrug;Efflux;CARD;Enterococcus faecalis;;NZ_PTWF01000025.1;ARO:3003948;https://www.ncbi.nlm.nih.gov/nuccore/NZ_PTWF01000025.1
emrA;;Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000027;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
emrB;;Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000074;https://www.ncbi.nlm.nih.gov/nuccore/U00096
emrD;;Multidrug;Multidrug;Efflux;NCBI;Klebsiella pneumoniae;;FJ744595.1;ARO:3000309;https://www.ncbi.nlm.nih.gov/nuccore/FJ744595.1
emrE;;Macrolide;Multidrug;Efflux;CARD;Escherichia coli;;Z11877.1;ARO:3004039;https://www.ncbi.nlm.nih.gov/nuccore/Z11877.1
emrK;;Tetracycline;;Efflux;CARD;Escherichia coli;;D78168.1;ARO:3000206;https://www.ncbi.nlm.nih.gov/nuccore/D78168
emrR;mprA, ECK2678;Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000516;https://www.ncbi.nlm.nih.gov/nuccore/U00096
EreA;;Macrolide;Erythromycin;Inactivation;CARD;Escherichia coli;NG_047765.1;AY183453.1;ARO:3000361;https://www.ncbi.nlm.nih.gov/nuccore/AY183453.1
EreB;;Macrolide;Erythromycin;Inactivation;CARD;Escherichia coli;NG_047768.1;X03988.1;ARO:3000363;https://www.ncbi.nlm.nih.gov/nuccore/X03988.1
Erm(33);Erm33;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Staphylococcus sciuri;NG_047776.1;AJ313523.1;ARO:3000599;https://www.ncbi.nlm.nih.gov/nuccore/AJ313523.1
Erm(34);Erm34;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Bacillus clausii;NG_047777.1;AY234334.1;ARO:3000600;https://www.ncbi.nlm.nih.gov/nuccore/AY234334.1
Erm(35);Erm35;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Bacteroides coprosuis DSM 18011;NG_047778.1;AF319779.2;ARO:3000604;https://www.ncbi.nlm.nih.gov/nuccore/AF319779.2
Erm(36);Erm36;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Micrococcus luteus;NG_047779.1;AF462611.1;ARO:3000605;https://www.ncbi.nlm.nih.gov/nuccore/AF462611.1
Erm(38);Erm38;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Mycolicibacterium smegmatis;NG_047781.1;AY154657.2;ARO:3000601;https://www.ncbi.nlm.nih.gov/nuccore/AY154657.2
Erm(39);Erm39;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Mycolicibacterium fortuitum;NG_047782.1;AY487229.1;ARO:3000602;https://www.ncbi.nlm.nih.gov/nuccore/AY487229.1
